time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-08-01T23:38:32.260Z,27.754,56.558,33,5.2,mwc,,,,0.98,us,usp0008sm5,2022-04-29T17:36:28.815Z,"southern Iran",earthquake,,,,,reviewed,us,hrv
1998-07-24T11:36:46.830Z,28.203,57.373,23.2,4.6,mb,,,,1.07,us,usp0008s3g,2014-11-07T01:05:37.991Z,"122 km NNE of M?n?b, Iran",earthquake,,,,16,reviewed,us,us
1998-07-09T16:23:34.560Z,38.887,48.637,33,4.5,mb,,,,1.2,us,usp0008r8b,2014-11-07T01:05:34.355Z,"7 km SW of Boradigah, Azerbaijan",earthquake,,,,6,reviewed,us,us
1998-07-09T14:19:18.410Z,38.717,48.507,26,6,mwc,,,,0.98,us,usp0008r85,2022-04-29T17:34:17.226Z,"10 km SE of Lerik, Azerbaijan",earthquake,,,,,reviewed,us,hrv
1998-06-15T01:14:35.990Z,31.712,50.835,31.3,5.2,mwc,,,,1.02,us,usp0008pxh,2022-04-29T17:31:31.541Z,"51 km WSW of Bor?jen, Iran",earthquake,,13.3,,,reviewed,us,hrv
1998-06-13T02:23:43.850Z,27.785,53.69,33,4.6,mb,,,,0.73,us,usp0008pu1,2014-11-07T01:05:24.529Z,"45 km WNW of Ger?sh, Iran",earthquake,,,,43,reviewed,us,us
1998-06-10T08:30:13.750Z,28.275,58.544,88.2,5.4,mwc,,,,0.95,us,usp0008pp4,2016-11-09T22:43:44.111Z,"93 km S of Bam, Iran",earthquake,,,,,reviewed,us,hrv
1998-05-30T06:54:54.940Z,28.493,63.731,0,4.6,mb,,,,0.97,us,usp0008nzp,2014-11-07T01:05:17.081Z,"79 km SW of Dalbandin, Pakistan",nuclear explosion,,,,35,reviewed,us,us
1998-05-28T20:32:46.510Z,26.576,62.23,47.4,4.7,mb,,,,1.29,us,usp0008nw3,2014-11-07T01:05:16.597Z,"103 km NW of Turbat, Pakistan",earthquake,,,,35,reviewed,us,us
1998-04-19T19:57:22.910Z,25.042,63.292,33,4.7,mb,,,,0.95,us,usp0008kk8,2014-11-07T01:05:01.384Z,"30 km SW of Pasni, Pakistan",earthquake,,,,25,reviewed,us,us
1998-04-16T07:47:09.920Z,29.852,57.567,33,4.6,mb,,,,1.02,us,usp0008kc5,2014-11-07T01:05:00.165Z,"67 km SE of Kerman, Iran",earthquake,,,,7,reviewed,us,us
