Lon_start,Lon_end,Lat_start,Lat_end,Earthquake_count,FD (bw = 0.30),FD (bw = 0.50),FD (bw = 0.40)
105.0,106.0,-9.0,-8.0,58,10.518461629191384,14.31599431764081,12.437671092277819
105.0,106.0,-8.0,-7.0,122,65.06790455397508,82.0922358799501,75.03136137108167
105.0,106.0,-7.0,-6.0,243,170.10564173839134,186.6730370265532,183.50761477176692
105.0,106.0,-6.0,-5.0,119,63.43650828886349,64.26537862297175,64.6866092325901
106.0,107.0,-9.0,-8.0,93,30.044921330352427,38.6997694981767,34.49701005039937
106.0,107.0,-8.0,-7.0,227,163.04309625515108,202.19951554660997,187.55291146652257
106.0,107.0,-7.0,-6.0,140,75.87804902030032,103.12729471289727,91.49578018925953
106.0,107.0,-6.0,-5.0,25,4.168852646609008,7.235917996870302,5.741264722103612
107.0,108.0,-9.0,-8.0,124,86.23301535244691,98.07288010568247,94.32594719695034
107.0,108.0,-8.0,-7.0,229,180.3442176778668,206.5524258940609,198.1937251443075
107.0,108.0,-7.0,-6.0,49,11.771415573056569,19.49897647385549,15.671569226261289
107.0,108.0,-6.0,-5.0,22,2.4840706350774284,3.1800700539998688,2.725490999439348
108.0,109.0,-9.0,-8.0,141,61.342187825189995,74.57454299839415,69.63463774073574
108.0,109.0,-8.0,-7.0,112,63.54532687760774,74.5374991245907,70.01754894209459
108.0,109.0,-7.0,-6.0,38,4.766136652546795,7.287554411702371,5.867759562703839
108.0,109.0,-6.0,-5.0,4,0.012280613543919417,0.023612188726766316,0.009789263901713955
109.0,110.0,-9.0,-8.0,79,24.868861124569047,29.779485503731188,27.815103203499408
109.0,110.0,-8.0,-7.0,35,10.088015781126268,12.260946389697828,11.147825244167905
109.0,110.0,-7.0,-6.0,11,0.9526460630506209,1.2420912373263944,1.046137891966445
109.0,110.0,-6.0,-5.0,7,0.541425943040881,0.561004983113274,0.5553487137060331
110.0,111.0,-9.0,-8.0,116,37.01018257842191,41.86671822451748,40.44239782713257
110.0,111.0,-8.0,-7.0,26,3.3033781911118805,5.024743321038287,4.053945837616279
110.0,111.0,-7.0,-6.0,6,0.16666484171182105,0.33359332567144057,0.22073355832613187
110.0,111.0,-6.0,-5.0,70,16.184486430772807,11.589765967372147,13.802507282251069
111.0,112.0,-9.0,-8.0,148,64.6722951857294,66.86677351491005,66.94498651608136
111.0,112.0,-8.0,-7.0,34,4.338017259069533,6.865063428876385,5.606355451972387
111.0,112.0,-7.0,-6.0,13,0.7117752316098546,0.9523187188399681,0.7946884290056293
111.0,112.0,-6.0,-5.0,9,0.4685443913586528,0.6457642933508195,0.5613229123951733
112.0,113.0,-9.0,-8.0,137,55.121284243136586,53.932732616494306,55.25055057849193
112.0,113.0,-8.0,-7.0,28,3.0994896898844773,5.2736162842674075,4.219555635340535
112.0,113.0,-7.0,-6.0,37,6.037954952170496,5.297413645806424,5.623649589787517
112.0,113.0,-6.0,-5.0,6,0.6954029103132151,0.7234845455573777,0.7275844482572322
113.0,114.0,-9.0,-8.0,55,9.498719755187343,12.217905184920651,11.234415193694154
113.0,114.0,-8.0,-7.0,11,0.541831435440556,1.1119864823840013,0.8037030042332364
113.0,114.0,-7.0,-6.0,43,10.100597276845134,7.238620126288295,8.526607156320047
113.0,114.0,-6.0,-5.0,6,1.0048277980025508,0.8489207942328091,0.9458719031816945
114.0,115.0,-9.0,-8.0,67,9.551445197770255,9.074772764497368,9.524562091277526
114.0,115.0,-8.0,-7.0,14,0.7587690682500073,0.9772483369896651,0.8665168435018746
114.0,115.0,-7.0,-6.0,13,0.47381684272289903,0.42814660726069104,0.431361886877062
114.0,115.0,-6.0,-5.0,1,0.005499046318286504,0.010193921861690242,0.008202615194750523
